sku,in_db,in_ss,in_bc,db_available,db_on_hand,db_bc_mapped,db_client_store_maps,ss_available,ss_on_hand,bc_quantity_available,bc_band_name,bc_title
B-LL-LLLE,1,0,1,,,0,0,,,0,LEAVING RECORDS,loose leaf limited edition cassette
B-SP-SPTP,1,0,1,,,0,0,,,184,True Panther,sleep paralysis Translucent Purple Vinyl
B-SP-SPV,1,0,1,,,0,0,,,0,True Panther,sleep paralysis Glow-In-The-Dark Green Vinyl
B-TS-STSC,1,0,1,,,0,0,,,0,True Panther,The Sound Compact Disc
B-TS-TSCD,1,0,1,,,0,0,,,0,True Panther,The Sound Compact Disc
BAG-WSR-036,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Tender Tote
BAG-WSR-TLT,1,0,1,,,0,0,,,,Whited Sepulchre Records,Talk Low Tote
BB-TS-TS12,1,0,1,,,0,0,,,0,LEAVING RECORDS,"The Snake 12"" VINYL"
BDW-TI-BC,1,0,1,,,0,0,,,38,LEAVING RECORDS,BLUE CASSETTE
BDW-TI-BV,1,0,1,,,0,0,,,0,LEAVING RECORDS,BLACK VINYL
BDW-TI-TPV,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING VINYL
BF-ATTW-BV,1,0,1,,,0,0,,,24,LEAVING RECORDS,BLUE VINYL
BF-ATTW-C,1,0,1,,,0,0,,,58,LEAVING RECORDS,CASSETTE
BF-ATTW-V,1,0,1,,,0,0,,,0,LEAVING RECORDS,BLACK VINYL
BJ-FM-FMTP,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Fog Mirror Test Press + LP (Edition of 1)
BJ-FM-LEVS,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Limited Edition White Vinyl + Split Cassette w/ ant'lrd + Speciality Insert
BK-BKSP-LESC,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Limited Edition Split Cassette with Sympathy Pain
BK-BKSP-SLEC,1,0,1,,,0,0,,,27,Whited Sepulchre Records,Super Limited Edition Cassette w. Alt. Artwork
BM-ATTW-TP,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING
BM-YNM-C,1,0,1,,,0,0,,,0,LEAVING RECORDS,CASSETTE
BOOK-FRCS-NA-ER,1,0,0,,,0,0,,,,,
BOOK-IP-BRLW-ARCBYWW,1,0,0,,,0,0,,,,,
BOOK-SRR-NS-TMF,1,0,0,,,0,0,,,,,
BOOK-WSR-039,1,1,1,,,0,0,2,2,10,Whited Sepulchre Records,Limited Edition Still Water Zine
BP-INTS-S,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-1,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-2,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-3,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-4,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-5,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-WBTS,1,0,1,,,0,0,,,0,Northern Spy Records,White Bicycle triptych set (limited bone vinyl)
BP-WBTS-1,1,0,1,,,0,0,,,0,Northern Spy Records,White Bicycle triptych set: LP + CD + Cassette
BT-EM-EM12,1,0,1,,,0,0,,,0,LEAVING RECORDS,"Elder Mantis 12"" VINYL"
BT-EMLS,0,0,1,,,0,0,,,0,LEAVING RECORDS,Elder Mantis Long Sleeve
BT-EMLS-S,0,0,1,,,0,0,,,0,LEAVING RECORDS,Elder Mantis Long Sleeve
BT-EMLS-S-1,0,0,1,,,0,0,,,0,LEAVING RECORDS,Elder Mantis Long Sleeve
BT-EMLS-S-2,0,0,1,,,0,0,,,0,LEAVING RECORDS,Elder Mantis Long Sleeve
BT-EMLS-S-3,0,0,1,,,0,0,,,0,LEAVING RECORDS,Elder Mantis Long Sleeve
BT-EMLS-S-4,0,0,1,,,0,0,,,0,LEAVING RECORDS,Elder Mantis Long Sleeve
BT-OW-COW,1,0,1,,,0,0,,,0,LEAVING RECORDS,CASSETTE: Opal Wand
BT-PA-PAC,1,0,1,,,0,0,,,0,LEAVING RECORDS,Parlour Arcana CASSETTE
BT-SAFN-C,1,0,1,,,0,0,,,0,LEAVING RECORDS,CASSETTE
BT-SAFN-C-1,1,0,1,,,0,0,,,23,LEAVING RECORDS,CASSETTE
BUNDLE-NNA-151-123,1,0,1,,,0,0,,,0,NNA Tapes,Shift + Acquiesce Bundle
BW 006,1,0,1,,,0,0,,,36,Birdwatcher Records,Cale Brandley with Triptych Myth: Finding Fire CD
BWCD-006,1,0,1,,,0,0,,,,Birdwatcher Records,Andrew Lamb Trio - Casbah Of Love CD
C-D-CB,1,0,1,,,0,0,,,19,LEAVING RECORDS,CASSETTE BUNDLE
C-D-DC,1,0,1,,,0,0,,,0,LEAVING RECORDS,DOGGYSTYLE CASSETTE
C-ERE-C,1,0,1,,,0,0,,,25,LEAVING RECORDS,CASSETTE
C-ERE-L12V,1,0,1,,,0,0,,,0,LEAVING RECORDS,VINYL
C-ERE-V,1,0,1,,,0,0,,,0,LEAVING RECORDS,VINYL
C-ERE-VB,0,0,1,,,0,0,,,0,LEAVING RECORDS,VINYL BUNDLE
C-MITP-CB,1,0,1,,,0,0,,,21,LEAVING RECORDS,CASSETTE BUNDLE
C-SS-V,1,0,1,,,0,0,,,0,LEAVING RECORDS,VINYL
C-SS-VS,1,0,1,,,0,0,,,0,LEAVING RECORDS,VINYL (SMOKE)
C-SSE-VB,1,0,1,,,0,0,,,0,LEAVING RECORDS,VINYL BUNDLE
CB-CC3-CC3C,1,0,1,,,0,0,,,93,True Panther,Cash Corridos 3 Compact Disc (CD)
CD-2TONE-9QYS,1,0,0,,,0,0,,,,,
CD-2TONE-K70P,1,0,0,,,0,0,,,,,
CD-AAD-040,0,1,0,,,0,0,2,2,,,
CD-AAD-041,0,1,0,,,0,0,1,1,,,
CD-ACD-001,0,1,0,,,0,0,66,66,,,
CD-ACD-002,0,1,0,,,0,0,15,15,,,
CD-ACD-003,1,1,0,,,0,0,108,108,,,
CD-ACD-005,0,1,0,,,0,0,19,19,,,
CD-AE-034,0,1,0,,,0,0,2,2,,,
CD-AE-037,0,1,0,,,0,0,2,2,,,
CD-AE-053,0,1,0,,,0,0,2,2,,,
CD-AE-065,0,1,0,,,0,0,3,3,,,
CD-AE-066,0,1,0,,,0,0,4,4,,,
CD-AE-071,0,1,0,,,0,0,3,3,,,
CD-AE-075,0,1,0,,,0,0,3,3,,,
CD-AE-076,0,1,0,,,0,0,2,2,,,
CD-ARCA-224,0,1,0,,,0,0,1,1,,,
CD-ARCA-252,0,1,0,,,0,0,2,2,,,
CD-ASIFALWA-9UEO,1,0,0,,,0,0,,,,,
CD-ASIFALWA-KAIC,1,0,0,,,0,0,,,,,
CD-AV!-035,0,1,0,,,0,0,3,3,,,
CD-AV!-051,0,1,0,,,0,0,5,5,,,
CD-AV!-059,0,1,0,,,0,0,14,14,,,
CD-AV!-080,0,1,0,,,0,0,19,19,,,
CD-AV!-083,1,1,0,,,0,0,1,1,,,
CD-AV!-084,0,1,0,,,0,0,6,6,,,
CD-AV!-089,0,1,0,,,0,0,13,13,,,
CD-AV!-090,0,1,0,,,0,0,7,7,,,
CD-AV!-093,0,1,0,,,0,0,1,1,,,
CD-AV!-098,0,1,0,,,0,0,1,1,,,
CD-AV!-099,0,1,0,,,0,0,18,18,,,
CD-AV-009,0,1,0,,,0,0,9,9,,,
CD-BASKETST-9RUO,1,0,0,,,0,0,,,,,
CD-BASKETST-K7TS,1,0,0,,,0,0,,,,,
CD-BCD-002,0,1,0,,,0,0,9,9,,,
CD-BDIJ-TFFV3,0,1,0,,,0,0,9,9,,,
CD-BDJ-001-DT,0,1,0,,,0,0,8,8,,,
CD-BDJ-001-ID,0,1,0,,,0,0,8,8,,,
CD-BDJ-002,0,1,0,,,0,0,8,8,,,
CD-BDJ-011,0,1,0,,,0,0,7,7,,,
CD-BDJ-023,0,1,0,,,0,0,8,8,,,
CD-BDJ-BN-SFTB,0,1,0,,,0,0,8,8,,,
CD-BDJ-BN-TFFV2,0,1,0,,,0,0,8,8,,,
CD-BDJ-K7-ABS,0,1,0,,,0,0,8,8,,,
CD-BDJ-K7-TKPC,0,1,0,,,0,0,8,8,,,
CD-BDJ-K7-WGTC,0,1,0,,,0,0,8,8,,,
CD-BDJ-KCBN-G,0,1,0,,,0,0,8,8,,,
CD-BDM-009,0,1,0,,,0,0,16,16,,,
CD-BDM-010,0,1,0,,,0,0,5,5,,,
CD-BDM-011,0,1,0,,,0,0,12,12,,,
CD-BRICKAND-9R7A,1,0,0,,,0,0,,,,,
CD-BRICKAND-K77P,1,0,0,,,0,0,,,,,
CD-BW-001,1,0,1,,,0,0,,,6,Birdwatcher Records,Limited Edition Compact Disc
CD-BW-008,0,0,1,,,0,0,,,0,Birdwatcher Records,Take The Neon Lights CD
CD-BW-010,1,1,1,,,0,0,3,3,48,Birdwatcher Records,Adir L.C. Basket Star CD
CD-BW-012,0,0,1,,,0,0,,,0,Birdwatcher Records,Compact Disc
CD-BW-013,0,1,1,,,0,0,3,3,46,Birdwatcher Records,Timoka Deluxe CD in Jacket
CD-BW-014,0,1,1,,,0,0,2,2,,Birdwatcher Records,Compact Disc
CD-BW-014-1,0,0,1,,,0,0,,,,Birdwatcher Records,Limited Edition Digipak CD
CD-BW-015,0,1,0,,,0,0,2,2,,,
CD-BW-016,1,0,1,,,0,0,,,0,Birdwatcher Records,CD
CD-BW-017,0,1,0,,,0,0,5,5,,,
CD-BW-022,0,0,1,,,0,0,,,,Birdwatcher Records,Digipak CD
CD-BW-16,0,0,1,,,0,0,,,,Birdwatcher Records,CD in Digipack
CD-BWR-026,0,1,0,,,0,0,4,4,,,
