"warehouse_product_id","shopify_product_id","vendor","title","created_at","action","error"
"20191b25-9639-45a7-b436-c82c694e2084","gid://shopify/Product/10347307860283","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:01.605476+00:00","would_archive",""
"5181fe08-104d-44d0-b864-8ac4809efeb6","gid://shopify/Product/10347765498171","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:03.024346+00:00","would_archive",""
"bee500f3-af27-4935-90fb-51952c6c205b","gid://shopify/Product/10347222991163","Northern Spy Records","Northern Spy Records - Potted Iris Longsleeve","2026-04-19T04:35:03.716434+00:00","would_archive",""
"a134c2f9-7dcd-40a1-b955-fe0a13c28094","gid://shopify/Product/10347223023931","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:03.855066+00:00","would_archive",""
"15e4ade7-0c74-4573-bf27-b8555112996f","gid://shopify/Product/10347223089467","Northern Spy Records","Shilpa Ray - Paisley","2026-04-19T04:35:03.965384+00:00","would_archive",""
"220b93f3-2229-4e19-998e-e6efbd65db4d","gid://shopify/Product/10347223122235","Northern Spy Records","The Usaisamonster - RIP","2026-04-19T04:35:04.080291+00:00","would_archive",""
"cbf95d96-fa55-4d40-b593-eedf2388374a","gid://shopify/Product/10347223187771","Northern Spy Records","The Usaisamonster - Lost and Found","2026-04-19T04:35:04.192922+00:00","would_archive",""
"246bc110-2808-47dc-b367-3a1a80e9b5ab","gid://shopify/Product/10347223220539","Northern Spy Records","cloud becomes your hand - Rest In Fleas","2026-04-19T04:35:04.322739+00:00","would_archive",""
"a855de23-4b94-4ec5-b7e9-da520845c554","gid://shopify/Product/10347245273403","Northern Spy Records","Northern Spy Records - Potted Iris Longsleeve","2026-04-19T04:35:10.651411+00:00","would_archive",""
"bb122af7-f377-4d3d-a649-e8b733d0bbae","gid://shopify/Product/10347245371707","Northern Spy Records","Northern Spy Records - Nipomo","2026-04-19T04:35:10.77428+00:00","would_archive",""
"85267a2d-cce1-43d6-9ef5-bbe278a1841b","gid://shopify/Product/10347245404475","Northern Spy Records","Shilpa Ray - Paisley","2026-04-19T04:35:10.895426+00:00","would_archive",""
"56f50a21-ce33-44ed-9fe8-33467b2ac390","gid://shopify/Product/10347245437243","Northern Spy Records","The Usaisamonster - RIP","2026-04-19T04:35:11.017757+00:00","would_archive",""
"c23d7417-7b4e-4689-8984-5044ad6a874c","gid://shopify/Product/10347245502779","Northern Spy Records","The Usaisamonster - Lost and Found","2026-04-19T04:35:11.155419+00:00","would_archive",""
"05ec768d-b7fb-42e8-b0f2-6181a2c171da","gid://shopify/Product/10347245535547","Northern Spy Records","cloud becomes your hand - Rest In Fleas","2026-04-19T04:35:11.285128+00:00","would_archive",""
"49ba0953-cd6d-48bc-b508-5649c29c2aa0","gid://shopify/Product/10347274076475","Northern Spy Records","Northern Spy Records - Potted Iris Longsleeve","2026-04-19T04:35:16.93298+00:00","would_archive",""
