sku,old_title,new_title,shopify_id
"NSR-RPIO-1","Rainbow Potted Iris on Ash T-Shirt","Northern Spy Records - Rainbow Potted Iris on Ash T-Shirt","gid://shopify/Product/10310467223867"
"A-ISTN-BV","LEAVING RECORDS - Solstice Concert - CASSETTE","AshTreJinkins - IT'S TRASH NOW LP",""
"M-GG-VMSB","LEAVING RECORDS - BLQLYTE TEE","Maral - Ground Groove LP",""
"TP-BTPR","Black True Panther Raver Cap with LED Lights","True Panther - Black True Panther Raver Cap with LED Lights","gid://shopify/Product/10310474498363"
"FDN-SC-LEC","LEAVING RECORDS - Strawberry Season - PINK VINYL","Fabiano do Nascimento - Solstice Concert LP",""
"S-SS20","SUSS Spring 2025 Tour Sweatshirt","SUSS - SUSS Spring 2025 Tour Sweatshirt","gid://shopify/Product/10310471549243"
"SBNM-SM-C","LEAVING RECORDS - IT'S TRASH NOW - BLACK VINYL","Surya Botofasina, Nate Mercereau, Carlos Niño - Subtle Movements Cassette",""
"BDW-TI-TPV","LEAVING RECORDS - Das Nuvens - CASSETTE","Brin & Dustin Wong - Texture II LP",""
"A-ISTN-TP","LEAVING RECORDS - Cavejaz - TEST PRESSING VINYL","AshTreJinkins - IT'S TRASH NOW LP",""
"TS-NS-PI","Northern Spy Records Potted Iris Tee","Northern Spy Records - Northern Spy Records Potted Iris Tee","gid://shopify/Product/10310467486011"
"LR-AGMD-1","LEAVING RECORDS - All Genre Levitation Tee (PEPPER)","LEAVING RECORDS - All Genre Magic Door Tee (Butter)",""
"AD-MMV1-C","LEAVING RECORDS - Saana Sahel EP - VINYL","Ami Dang - Meditations Mixtape, Vol. I Cassette",""
"SR-B","Buttons","Shilpa Ray - Buttons","gid://shopify/Product/10310469189947"
"CS-DANCINGO-K57U","NNA Tapes - Dancing On Soda Lake - Limited Edition Cassette","NNA Tapes - Dancing On Soda Lake Cassette",""
"L-IWT2-LTPV","LEAVING RECORDS - BANANA LIVE - ltd. BANANA LIVE CASSETTE","Lionmilk - Intergalactic Warp Terminal 222 LP",""
"NSR-RPIO","Rainbow Potted Iris on White T-Shirt","Northern Spy Records - Rainbow Potted Iris on White T-Shirt","gid://shopify/Product/10310467453243"
"SG-PIM-DCV","LEAVING RECORDS - Delight - CASSETTE","Sam Gendel - Pass If Music LP",""
"FH-E-2CEA","LEAVING RECORDS - LR ALL GENRE CAP","Francesca Heart - Eurybia Cassette",""
"LR-LRIT","LEAVING RECORDS - All Genre Portal Tee","LEAVING RECORDS - LR Reflective Ink Tote",""
"SG-PIM-V","LEAVING RECORDS - Dream Trio - CASSETTE","Sam Gendel - Pass If Music LP",""
"LR-E-EC","LEAVING RECORDS - LR ALL GENRE TOTE","LEAVING RECORDS - ///// EFFECTUAL Cassette",""
"ADDITIONAL-SHIPPING","Additional Shipping (USPS Media Mail)","True Panther - Additional Shipping (USPS Media Mail)","gid://shopify/Product/10310474072379"
"NT-NTTS","NNA Tapes Shirt (White)","NNA Tapes - NNA Tapes Shirt (White)","gid://shopify/Product/10310471975227"
