Client,Total Variants,Bandcamp Only,Shopify Only,Both BC+Shopify,Neither,Shopify Active,Shopify Draft,Shopify Archived,Has Inventory,In Stock,Out of Stock,No Inventory
"Hanson Records",2,0,2,0,0,1,0,1,0,0,0,2
"100 Limousines",2,0,2,0,0,2,0,0,0,0,0,2
"Electronic Music Foundation",2,0,2,0,0,2,0,0,0,0,0,2
"Legion Of The Dead",2,0,2,0,0,0,2,0,0,0,0,2
"Signal Records",2,0,2,0,0,0,0,2,0,0,0,2
"Troniks",2,0,2,0,0,2,0,0,0,0,0,2
"Absurd Exposition",2,0,2,0,0,2,0,0,0,0,0,2
"Howling Mine",2,0,2,0,0,0,2,0,0,0,0,2
"Abhorrent A.D.",2,0,2,0,0,2,0,0,0,0,0,2
"Breathing Problem",2,0,2,0,0,2,0,0,0,0,0,2
"Flag Day Recordings",2,0,2,0,0,0,2,0,0,0,0,2
"I Dischi Del Barone",2,0,2,0,0,2,0,0,0,0,0,2
"LA Dark Records",2,0,2,0,0,2,0,0,0,0,0,2
"Alchemy Records",2,0,2,0,0,2,0,0,0,0,0,2
"Gilgongo",2,0,2,0,0,2,0,0,0,0,0,2
"Shut Off Notice",2,0,2,0,0,2,0,0,0,0,0,2
"Fönstret",2,0,2,0,0,2,0,0,0,0,0,2
"Matt McBane",2,0,0,2,0,0,2,0,2,1,1,0
"Templo Animal",2,0,2,0,0,2,0,0,0,0,0,2
"Across the Horizon",2,1,0,1,0,0,1,0,2,2,0,0
"Third Coming Records",1,0,1,0,0,1,0,0,0,0,0,1
"Make Noise Records",1,0,1,0,0,1,0,0,0,0,0,1
"Dassi",1,0,1,0,0,0,0,1,0,0,0,1
"Cloister",1,0,1,0,0,1,0,0,0,0,0,1
"Inu Wan Wan Records",1,0,1,0,0,0,0,1,0,0,0,1
"Stellage",1,0,1,0,0,0,1,0,0,0,0,1
"Future Corridor",1,0,1,0,0,1,0,0,0,0,0,1
"Propitious Artifacts",1,0,1,0,0,1,0,0,0,0,0,1
"h2l",1,0,1,0,0,1,0,0,0,0,0,1
"Waveshaper Media",1,0,1,0,0,1,0,0,0,0,0,1
"Leather Bath",1,0,1,0,0,1,0,0,0,0,0,1
"No Emb Blanc",1,0,1,0,0,1,0,0,0,0,0,1
"Discoteca Italia",1,0,1,0,0,0,1,0,0,0,0,1
"Bank NYC",1,0,1,0,0,0,1,0,0,0,0,1
"Listening House",1,0,1,0,0,0,1,0,0,0,0,1
"HN_AM",1,0,1,0,0,0,1,0,0,0,0,1
"SELN Recordings",1,0,1,0,0,1,0,0,0,0,0,1
"Regional Bears",1,0,1,0,0,0,0,1,0,0,0,1
