sku,existing_qty,bandcamp_qty,account,product_title
WBS-TMTS,97,19,"Whited Sepulchre Records",""Unification" T-Shirt"
WBS-TMTS,97,4,"Whited Sepulchre Records",""Unification" T-Shirt"
LP-WSR-HG-SYC,200,200,"Whited Sepulchre Records","(U.S. Customers Only) Limited Edition 12" Vinyl"
LP-WSR-035-POSTERBUNDLE,46,46,"Whited Sepulchre Records","Acknowledgment LP + Poster Insert + Limited Edition Risograph "Guides" Poster"
Z-AOL-AOLT,3,3,"Whited Sepulchre Records","Array of Light Test Press + LP (Edition of 4)"
P-IDTG-POCL,24,5,"Whited Sepulchre Records","CD + Longsleeve Bundle"
P-IDTG-POCL,24,3,"Whited Sepulchre Records","CD + Longsleeve Bundle"
P-IDTG-POCL,24,10,"Whited Sepulchre Records","CD + Longsleeve Bundle"
P-IDTG-POCL,24,5,"Whited Sepulchre Records","CD + Longsleeve Bundle"
P-IDTG-POCL,24,1,"Whited Sepulchre Records","CD + Longsleeve Bundle"
JQT-HTMD-CTSB,6,2,"Whited Sepulchre Records","CD + T-Shirt Bundle"
JQT-HTMD-CTSB,6,4,"Whited Sepulchre Records","CD + T-Shirt Bundle"
LP-WSR-035-BUNDLE,7,7,"Whited Sepulchre Records","Implication Bundle"
O-KM-KMTP,9,9,"Whited Sepulchre Records","KONGO / MERCY Test Press + LP (Edition of 9)"
JQT-LEIB,5,2,"Whited Sepulchre Records","Limited Edition "I Believe" T-Shirt"
JQT-LEIB,5,1,"Whited Sepulchre Records","Limited Edition "I Believe" T-Shirt"
JQT-LEIB,5,2,"Whited Sepulchre Records","Limited Edition "I Believe" T-Shirt"
SHIRT-WSR-036,2,1,"Whited Sepulchre Records","Limited Edition "Tender" T-Shirt"
SHIRT-WSR-036,2,1,"Whited Sepulchre Records","Limited Edition "Tender" T-Shirt"
WBS-TM-LE12-1,109,109,"Whited Sepulchre Records","Limited Edition 12""
E-P-LE12,289,289,"Whited Sepulchre Records","Limited Edition 12" Vinyl"
P-IDTG-LE12,296,296,"Whited Sepulchre Records","Limited Edition 12" Vinyl"
LP-WSR-044-1,487,487,"Whited Sepulchre Records","Limited Edition 12" Vinyl"
LP-WSR-033-BUNDLE,31,31,"Whited Sepulchre Records","Limited Edition 12" Vinyl + CD"
WBS-TM-LE12,219,219,"Whited Sepulchre Records","Limited Edition 12" Vinyl w/ Sigil Booklet"
LP-WSR-045-WITHBOOK,120,120,"Whited Sepulchre Records","Limited Edition 12" Vinyl w/ Sigil Booklet"
LP-WSR-JOYS-JOYS,198,198,"Whited Sepulchre Records","Limited Edition 12" w/ companion zine"
PS-FHOI-LE7L,43,43,"Whited Sepulchre Records","Limited Edition 7" Lathe"
LM-FHOI-LE7L,87,87,"Whited Sepulchre Records","Limited Edition 7" Lathe"
CS-WSR-LTJ-FNM,22,22,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-051,90,90,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-039-1,30,30,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-016,48,48,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-008-1,20,20,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-008,20,20,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-000,2,2,"Whited Sepulchre Records","Limited Edition Cassette"
CS-WSR-039-BUNDLE,20,20,"Whited Sepulchre Records","Limited Edition Cassette + Zine"
CS-WSR-022,20,20,"Whited Sepulchre Records","Limited Edition Cassette w/ Alt. Artwork"
JQT-HTMD-LEC,95,95,"Whited Sepulchre Records","Limited Edition CD"
CD-WSR-034,100,100,"Whited Sepulchre Records","Limited Edition CD"
CD-WSR-007-1,10,10,"Whited Sepulchre Records","Limited Edition CD"
CD-WSR-033,29,29,"Whited Sepulchre Records","Limited Edition CD"
CD-WSR-007,21,21,"Whited Sepulchre Records","Limited Edition CD"
LP-WSR-002-CLEAR,77,77,"Whited Sepulchre Records","Limited Edition Clear Vinyl"
AL-SD-LECV-1,37,37,"Whited Sepulchre Records","Limited Edition Clear Vinyl + Split Cassette w/ braeyden jae + Limited Edition Insert"
AL-T-LECV-1,3,1,"Whited Sepulchre Records","Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-1,3,1,"Whited Sepulchre Records","Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-1,3,1,"Whited Sepulchre Records","Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
LTJ-W-LECD,92,92,"Whited Sepulchre Records","Limited Edition Compact Disc"
P-IDTG-LECD,294,294,"Whited Sepulchre Records","Limited Edition Compact Disc"
CD-WSR-050,63,63,"Whited Sepulchre Records","Limited Edition Compact Disc"
SM-ATOC-LECD,182,182,"Whited Sepulchre Records","Limited Edition Compact Disc"
SI-WSR-BP-OAHA,78,78,"Whited Sepulchre Records","Limited Edition Lathe-Cut 7""
SI-WSR-BP-OAHAP,20,20,"Whited Sepulchre Records","Limited Edition Lathe-Cut 7" with Polaroid"
LP-WSR-038-LAV,2,2,"Whited Sepulchre Records","Limited Edition Lavender LP"
SI-WSR-005-1,113,113,"Whited Sepulchre Records","Limited Edition Split 7""
CS-WSR-015-1,32,32,"Whited Sepulchre Records","Limited Edition Split Cassette"
CS-WSR-014-1,21,21,"Whited Sepulchre Records","Limited Edition Split with AMULETS"
LP-WSR-001-WHITE,18,18,"Whited Sepulchre Records","Limited Edition White Vinyl"
P-IDTG-POLL,24,7,"Whited Sepulchre Records","LP & Longsleeve Bundle"
P-IDTG-POLL,24,2,"Whited Sepulchre Records","LP & Longsleeve Bundle"
P-IDTG-POLL,24,10,"Whited Sepulchre Records","LP & Longsleeve Bundle"
P-IDTG-POLL,24,4,"Whited Sepulchre Records","LP & Longsleeve Bundle"
P-IDTG-POLL,24,1,"Whited Sepulchre Records","LP & Longsleeve Bundle"
LP-WSR-035-INTL,199,199,"Whited Sepulchre Records","Non U.S Customers: Limited Edition LP"
LP-WSR-050-INTL,243,243,"Whited Sepulchre Records","Non-U.S Customers: Limited Edition 12""
P-PLTS,14,1,"Whited Sepulchre Records","Peretsky Longsleeve T-Shirt"
P-PLTS,14,5,"Whited Sepulchre Records","Peretsky Longsleeve T-Shirt"
P-PLTS,14,1,"Whited Sepulchre Records","Peretsky Longsleeve T-Shirt"
P-PLTS,14,7,"Whited Sepulchre Records","Peretsky Longsleeve T-Shirt"
LM-SG-SGTP,2,2,"Whited Sepulchre Records","Slow Grass Test Press. Limited to 2."
EM-SA-SALE,8,8,"Whited Sepulchre Records","Stars Aligned Limited Edition 12" Vinyl"
JQT-WMAB,45,45,"Whited Sepulchre Records","Westcoast Medieval Ambient Bumper Sticker"
