sku,existing_qty,bandcamp_qty,account,product_title
JJ-IAP-C,15,88,"LEAVING RECORDS","CASSETTE"
AC-CIP-C,62,62,"LEAVING RECORDS","CASSETTE"
DE-E-C,88,49,"LEAVING RECORDS","CASSETTE"
WTLS-U-C,32,32,"LEAVING RECORDS","CASSETTE"
LR-MFSA-C4E,48,48,"LEAVING RECORDS","CASSETTE"
LR-CWTI-CCWT,1,40,"LEAVING RECORDS","CASSETTE - Connecting with the Inner Healer Through Music"
C-MITP-CB,76,76,"LEAVING RECORDS","CASSETTE BUNDLE"
C-D-CB,125,125,"LEAVING RECORDS","CASSETTE BUNDLE"
LR-LC-CLC,20,20,"LEAVING RECORDS","CASSETTE: Lotus Collage"
LR-UIP-CUIP,14,14,"LEAVING RECORDS","CASSETTE: Unicorns In Paradise"
SWJM-PTCO-CJI,50,2,"LEAVING RECORDS","CD (Japan Import)"
SGSW-TD-CJI,32,2,"LEAVING RECORDS","CD (Japan Import)"
L-IWT2-C2V,1,1,"LEAVING RECORDS","CLEAR 2LP VINYL"
FDN-DN-TCV,89,50,"LEAVING RECORDS","COLOR VINYL"
K-C-CC,47,111,"LEAVING RECORDS","Colors CASSETTE"
SG-B-CDJE,55,55,"LEAVING RECORDS","COMPACT DISC (JAPAN EDITION)"
GB-E-DV,5,168,"LEAVING RECORDS","EXTRAVINYL"
FE-TNIF-FE12,35,35,"LEAVING RECORDS","Flaunt Edwards 12" Vinyl"
GV-GV-GVV,117,10,"LEAVING RECORDS","Galdre Visions VINYL"
GM-GE-GELE,3,3,"LEAVING RECORDS","Gliamd EP Limited Edition Cassette"
L-IWT2-IC,20,20,"LEAVING RECORDS","INTERGALACTIC CASSETTE"
M-OM-LT,49,20,"LEAVING RECORDS","LTD CASSETTE"
NH-TPOD-MC,62,62,"LEAVING RECORDS","MARBLED CASSETTE"
AS-ASII-SV,27,27,"LEAVING RECORDS","MARBLED VINYL"
LR142,47,47,"LEAVING RECORDS","MIVS&BG OFFICIAL VINYL"
M-S,41,4,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
M-S,41,9,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
M-S,41,12,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
M-S,41,11,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
M-S,41,5,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
ME-SS-PV,13,13,"LEAVING RECORDS","PINK VINYL"
KYVT-SE-SEC,185,2,"LEAVING RECORDS","SIIPI EMPII Cassette"
GH-SE-SEC,33,174,"LEAVING RECORDS","SOLAR EDITIONS CASSETTE"
LR-SZ-SZC,20,1,"LEAVING RECORDS","Sun Zither CASEETTE (archival, 1984)"
SSC-SSC-SSC1,48,48,"LEAVING RECORDS","Swan's Chamber 12" Vinyl"
JFNK-HI-TSV,1,1,"LEAVING RECORDS","TANGERINE SPLATTER VINYL"
NG-MBTT-TB,42,91,"LEAVING RECORDS","TAPE BUNDLE"
DPT-T-T12V,83,83,"LEAVING RECORDS","Technoself 12" Vinyl LP"
NG-MBTT-TP,2,2,"LEAVING RECORDS","TEST PRESSING"
Q-S-TP,109,5,"LEAVING RECORDS","TEST PRESSING"
JFNK-HI-TP,3,3,"LEAVING RECORDS","TEST PRESSING"
AC-CIP-TP,47,1,"LEAVING RECORDS","TEST PRESSING"
L-IWT2-LTPV,10,10,"LEAVING RECORDS","TEST PRESSING 2LP VINYL"
LR-T-TC,26,26,"LEAVING RECORDS","Tonings CASSETTE (archival, 1980s)"
FDN-DN-WRCV,32,32,"LEAVING RECORDS","TRANSLUCENT COLOR VINYL"
M-U-U12V,387,41,"LEAVING RECORDS","UNCLEARED 12" VINYL (HABENERO ORANGE)"
M-U-V,70,70,"LEAVING RECORDS","UNCLEARED 12" VINYL (HABENERO ORANGE)"
M-U-C,7,48,"LEAVING RECORDS","UNCLEARED CASSETTE"
NG-CS-LBV,65,93,"LEAVING RECORDS","VINYL"
NG-PMV3-V,46,19,"LEAVING RECORDS","VINYL"
QO-SA-VB,186,141,"LEAVING RECORDS","VINYL"
SWCW-SWCW-V,4,3,"LEAVING RECORDS","VINYL"
SCD-SCD-LP,7,4,"LEAVING RECORDS","VINYL"
TT-TT-V,1,134,"LEAVING RECORDS","VINYL"
QAS-P-V,2,171,"LEAVING RECORDS","VINYL"
AV-TG-V,60,60,"LEAVING RECORDS","VINYL"
LS-FDIQ-V,8,8,"LEAVING RECORDS","VINYL"
DTPG-THH-V,96,96,"LEAVING RECORDS","VINYL"
FT-M-V,2,73,"LEAVING RECORDS","VINYL"
AS-ASII-V,177,177,"LEAVING RECORDS","VINYL"
GH-MFLS-V,181,128,"LEAVING RECORDS","VINYL"
AJ-D-V,51,48,"LEAVING RECORDS","VINYL"
SG-LAUS-V,32,412,"LEAVING RECORDS","VINYL"
SG-FB-V,26,26,"LEAVING RECORDS","VINYL"
SG-FB-V2,50,50,"LEAVING RECORDS","VINYL"
TW-SW-V,271,271,"LEAVING RECORDS","VINYL"
M-JSP-V,26,247,"LEAVING RECORDS","VINYL"
M-GG-V,45,45,"LEAVING RECORDS","VINYL"
CH-T-V,25,25,"LEAVING RECORDS","VINYL"
NHA-POD-V,79,79,"LEAVING RECORDS","VINYL"
C-SS-V,17,26,"LEAVING RECORDS","VINYL"
SW-OTSI-12VB,1,1,"LEAVING RECORDS","VINYL"
SW-OTSI-V,76,1,"LEAVING RECORDS","VINYL"
DPT-AS-V,18,18,"LEAVING RECORDS","VINYL"
SGSW-MFSA-V,48,48,"LEAVING RECORDS","VINYL"
SGSW-TD-LP,12,12,"LEAVING RECORDS","VINYL"
LL-RM-VB,50,187,"LEAVING RECORDS","VINYL (BLACK)"
TGE-P18-VEE,47,47,"LEAVING RECORDS","VINYL (ESCAPE EDITION)"
M-GG-VM,19,19,"LEAVING RECORDS","VINYL (MARBLED)"
C-ERE-VB,79,23,"LEAVING RECORDS","VINYL BUNDLE"
C-SSE-VB,47,47,"LEAVING RECORDS","VINYL BUNDLE"
X-W-WC,57,1,"LEAVING RECORDS","Ways Cassette"
LR137-1,125,18,"LEAVING RECORDS","WILKES 12" VINYL LP"
Y-YANA-YANA,469,1,"LEAVING RECORDS","yuk. a n a k VINYL"
PURL-01-C,82,31,"LILA लीला","Cassette Tape"
LILA-LUMIN1,19,31,"LILA लीला","CD in Digipak"
LILA-AU4,36,51,"LILA लीला","CD in Digisleeve"
LILA-LUMIN3,13,3,"LILA लीला","CD in Jacket Sleeve"
LILA-AV1,140,140,"LILA लीला","CD in Jacket Sleeve"
LILA-AV1-SE,20,20,"LILA लीला","CD in Jacket Sleeve + Art Prints"
LILA-IND1,4,8,"LILA लीला","CD in Recycled Paper Sleeve"
LILA-AU2,51,30,"LILA लीला","Compact Disc in Paper Sleeve"
LILA-IO1,172,132,"LILA लीला","Double CD in Digipak"
ASIPV027X,14,22,"LILA लीला","Double CD in Digipak"
LILA-AU1,39,92,"LILA लीला","Double CD in Digipak"
LILA-IO1V,42,15,"LILA लीला","Double Vinyl"
SIS117,10,10,"LILA लीला","Handmade CD Edition"
ASIPV049,5,5,"LILA लीला","Transparent Double Vinyl In Gatefold Sleeve"
LILA-ART2,79,89,"LILA लीला","Triple Vinyl in Gatefold Sleeve"
WS0051R,15,5,"Lord Spikeheart","Haekalu Black Long Sleeve"
WS0051R,15,5,"Lord Spikeheart","Haekalu Black Long Sleeve"
WS0051R,15,5,"Lord Spikeheart","Haekalu Black Long Sleeve"
WS0052R,12,4,"Lord Spikeheart","Haekalu White Long Sleeve"
WS0052R,12,4,"Lord Spikeheart","Haekalu White Long Sleeve"
WS0052R,12,3,"Lord Spikeheart","Haekalu White Long Sleeve"
WS0052R,12,1,"Lord Spikeheart","Haekalu White Long Sleeve"
WS0053R,69,69,"Lord Spikeheart","Limited Edition 12" Vinyl"
WS0050R,13,4,"Lord Spikeheart","Lord Spikeheart Short Sleeve T-Shirt. Black"
WS0050R,13,1,"Lord Spikeheart","Lord Spikeheart Short Sleeve T-Shirt. Black"
WS0050R,13,6,"Lord Spikeheart","Lord Spikeheart Short Sleeve T-Shirt. Black"
WS0050R,13,2,"Lord Spikeheart","Lord Spikeheart Short Sleeve T-Shirt. Black"
LS-MPPT-1,47,100,"Lord Spikeheart","MOSH PIT POWER Tee. Black"
LS-MPPT-1,47,99,"Lord Spikeheart","MOSH PIT POWER Tee. Black"
LS-MPPT-1,47,100,"Lord Spikeheart","MOSH PIT POWER Tee. Black"
LS-MPPT-1,47,100,"Lord Spikeheart","MOSH PIT POWER Tee. Black"
LS-MPPT-1,47,100,"Lord Spikeheart","MOSH PIT POWER Tee. Black"
LS-SOTL,500,100,"Lord Spikeheart","Special offer: TYVM Long Sleeve + TYVM Hoodie"
LS-SOTL,500,100,"Lord Spikeheart","Special offer: TYVM Long Sleeve + TYVM Hoodie"
LS-SOTL,500,100,"Lord Spikeheart","Special offer: TYVM Long Sleeve + TYVM Hoodie"
LS-SOTL,500,100,"Lord Spikeheart","Special offer: TYVM Long Sleeve + TYVM Hoodie"
LS-SOTL,500,100,"Lord Spikeheart","Special offer: TYVM Long Sleeve + TYVM Hoodie"
LS-SBZL,14,99,"Lord Spikeheart","Special offer: Zebra Long Sleeve + Zebra Hoodie"
LS-SBZL,14,100,"Lord Spikeheart","Special offer: Zebra Long Sleeve + Zebra Hoodie"
LS-SBZL,14,100,"Lord Spikeheart","Special offer: Zebra Long Sleeve + Zebra Hoodie"
